"bloco","bairro","região","data","data relativa","concentração","desfile","final","local da concentracao","percurso","público estimado","ano do primeiro desfile"
"Banda da Constança Barbosa - Galo do Méier","Méier","Zona Norte 2","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T20:00:00-03:00","Rua Constança Barbosa, em frente ao no 212","Rua Constança Barbosa, Rua Manuela Barbosa, Rua Dias da Cruz, Rua Magalhães Couto e Rua Manuela Barbosa","400","2015"
"Banda do Riviera","Barra da Tijuca","Barra/JPA","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T20:00:00-03:00","Rua Rosalinda Brant, Condomínio Riviera","Rua Rosalinda Brant, Rua Celso Kelly, Rua Afrânio Costa, Rua Professor Dulcídio Cardoso e Rua Rosalinda Brant","2000","2007"
"Banda Sá Ferreira","Copacabana","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T16:00:00-03:00","2017-02-27T20:00:00-03:00","Rua Sá Ferreira entre Av. Nossa Senhora de Copacabana e Rua Bulhões de Carvalho","Rua Sá Ferreira, Rua Bulhões de Carvalho, Rua Francisco Otaviano, Av. Atlântica (area de lazer) até altura da Rua Sá Ferreira.","8000","1940"
"Engata no Centro","Lapa","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T16:00:00-03:00","2017-02-27T19:00:00-03:00","Rua Ubaldino do Amral enre Rua Carlos de Carvalho e Rua do Senado","Parado","300","2016"
"Estrelinhas da Penha","Penha","Zona Norte 1","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T16:00:00-03:00","2017-02-27T20:00:00-03:00","Rua Aimoré 180","PARADO","500","2013"
"Império da Cruzada","Leblon","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T16:00:00-03:00","2017-02-27T20:00:00-03:00","Rua Humbert de Campos entre Av. Afranio de Melo Franco e Av. Borges de Medeiros","Parado","2000","2008"
"Pragradar as Criancinhas","Rocinha","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T16:00:00-03:00","2017-02-27T20:00:00-03:00","Rua 1, esquina com Estrada da Gávea (altura do no 250)","Rua 1, esquina com Estrada da Gávea (altura do no 250) - Parado","600","2000"
"Vem Comigo","Vila Kosmos","Zona Norte 1","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T19:00:00-03:00","Rua Itacambira c/Av. Meriti","Rua Alecrim, Rua Itacambira com Rua Imbiaça.","1500",""
"Vermelho e Preto Coirmãos","Padre Miguel","Zona Oeste","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T20:00:00-03:00","Rua Helianto","Rua Helianto, Rua Olimpia Esteves, Rua Vila Nova e retorna para origem","400","2017(2013)"
"Afoxé Filhos de Gandhi","Copacabana","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T19:00:00-03:00","Posto 6 de Copacabana","Av. Atlântica do Posto 6 ao Posto 3","500","1951"
"Baile do Guri","Taquara","Barra/JPA","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T15:00:00-03:00","2017-02-27T21:00:00-03:00","Praça da Merck","Parado","200","2017"
"Balança Meu Catete","Catete","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T21:00:00-03:00","Rua do Catete 227","Rua do Catete, Rua Pedro Américo, Rua Bento Lisboa, Rua Dois de Dezembro e Rua do Catete, até a esquina com a Buarque de Macedo","4000","2011"
"Bambas do Catete","Catete","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T19:00:00-03:00","2017-02-27T21:00:00-03:00","Praça do Poeta","Praça do Poeta - Parado","1000","2002"
"Banda da Amizade","Lapa","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T23:00:00-03:00","Rua Tadeu Kosciusco","Rua Tadeu Kosciusco - Parado","1000","1988"
"Banda de Ipanema Infantil","Ipanema","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T16:00:00-03:00","2017-02-27T20:00:00-03:00","Praca General Osório","Praça General Osório - Parado","5000","1965"
"Ciganas Feiticeiras de Olaria","Olaria","Zona Norte 3","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T21:00:00-03:00","Rua Paranhos, esquina com João Rego","Rua João Rego, Rua Tetônio de Brito, Rua Comandante Abreu, Praça Belmonte, Rua Delfim Carlos e Rua João do Rego","1200","1995"
"Confraria do Peru Sadio","Leme","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T20:00:00-03:00","Avenida Atlântica, 514 (em frente ao Sindicato do Chopp)","Avenida Atlântica, seguindo até a esquina da Princesa Isabel e retornando ao local de concentração","2000","2004"
"Fúria de Bangú","Bangu","Zona Oeste","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T19:00:00-03:00","2017-02-27T21:00:00-03:00","Rua Bolobi","Rua Boiobi, Rua Banguense, Rua Rangel Pestana, Rua Silva Cardoso, Rua Santa Cecilia e Praça da Fé","400","2017 (2011)"
"Os Imóveis","Copacabana","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T15:00:00-03:00","2017-02-27T20:00:00-03:00","Rua Souza Lima, em frente ao no 121","Rua Souza Lima, em frente ao no 121 - Parado","200","2006"
"Pega Rex Social Clube","Ipanema","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T21:00:00-03:00","Praça Nossa Senhora da Paz","Parado na Praça","1000","2008"
"Raízes do Varandão","Vila Isabel","Tijuca e Adj","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T21:00:00-03:00","Av. 28 de Setembro 382","Segue pelo Boulevard contornando a Praça 7, Barão de Cotagipe, Rua Mendes Tavares","1000","2014"
"Terremoto","Piedade","Zona Norte 2","27/02/17","Segunda-feira de Carnaval","2017-02-27T15:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T20:00:00-03:00","Rua Padre Manoel da Nóbrega","Rua Padre Manoel da Nóbrega, Avenida Dom Helder Câmara, Rua João Pinheiro, Rua Tereza Cavalcanti, Rua Bernardino de Campos, Avenida Dom Helder Câmara e Rua Padre Manoel da Nóbrega","2500","1978"
"Aconteceu","Santa Teresa","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T22:00:00-03:00","Largo dos Guimarães","Largo dos Guimarães, Rua Paschoal Carlos Magno, Rua Monte Alegre e Rua Áurea","1500","2000"
"Arteiros da Glória","Glória","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T21:00:00-03:00","Rua da Glória, no 190","Rua da Glória, Rua do Catete, Rua Antonio Mendes Campos, Largo da Glória, Av. Augusto Severo e Rua da Glória","2000","2007"
"Associação Carnavalesca Infiéis","Centro","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T22:00:00-03:00","Largo Alexandre Herculano - em frente ao Real Gabinete Português de Leitura","Largo Alexandre Herculano - em frente ao Real Gabinete Português de Leitura - Parado","500","2008"
"Balanço do Jamelão","Andaraí","Tijuca e Adj","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T20:00:00-03:00","Rua Botucatu, esquina com Rua Rosa e Silva","Rua Botucatu, Rua Rosa e Silva, Rua Caçapava, Rua Uberaba, Rua Botucatu, Rua Barão de Mesquita e Largo do Verdun","600","2007"
"Bambas do Curuzu","São Cristóvão","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T22:00:00-03:00","Rua Curuzu, no 87","Rua Curuzu, Rua Alves Monte, Rua Coronel Cabrita, Praça Argentina, Rua Coronel Brandão e Rua Tuiuti - Curuzu","2000","2009"
"Bloco de Segunda","Botafogo","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T21:00:00-03:00","Rua Marques, atrás da Cobal do Humaitá","Rua Marques, Voluntários da Pátria, Rua Martins Ferreira, Rua São Clemente e Rua Marques","10000","1987"
"Boi de Anchieta","Anchieta","Zona Norte 1","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T22:00:00-03:00","Praça Nazaré","Praça Nazaré, Rua Motorista Luís de Abreu, Avenida Nazaré, Rua Motorista Luís de Abreu e Praça nazaré","1000","1990"
"Charanga Melindrosas de Vla Isabel","Vila Isabel","Tijuca e Adj","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T19:00:00-03:00","2017-02-27T21:00:00-03:00","Rua Visconde de Abaeté, esquina com Rua Torres Homem","Rua Visconde de Abaeté, Boulevard 28 de Setembro, Rua Rocha Fragoso, Boulevard 28 de Setembro e Rua Visconde de Abaeté","500","2013"
"Choppinho da Paula Freitas","Copacabana","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T22:00:00-03:00","Rua Paula Freitas, esquina com Avenida Atlântica","Rua Paula Freitas, Rua Barata Ribeiro, Rua Siqueira Campos, Avenida Atlântica, até a Rodolfo Dantas, retornando pela Avenida Atlântica, até a Rua Paula Freitas","2000","1994"
"Divas do Recreio","Recreio","Barra/JPA","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T22:00:00-03:00","Avenida Lucio Costa, em frente ao Posto 10","Avenida Lucio Costa, do Posto 10 ao Posto 9","4000","2015"
"Do Vinil ao K7","Madureira","Zona Norte 1","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T16:00:00-03:00","2017-02-27T22:00:00-03:00","Quiosque Bella Carioca (Parque de Madureira)","PARADO","800","2010"
"Leão da Pedra","Santo Cristo","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T16:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T22:00:00-03:00","Rua Da América","Rua Rego Barros, e retorna pela Rua Nabuco de Freitas até origem","300","2016"
"A Nega Indoidou","Centro","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T17:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T22:00:00-03:00","Rua Alvaro Alvim","Parado","600","2010"
"Balanço do Pinto","Tijuca","Tijuca e Adj","27/02/17","Segunda-feira de Carnaval","2017-02-27T17:00:00-03:00","2017-02-27T20:00:00-03:00","2017-02-27T23:00:00-03:00","Rua Pinto de Figueiredo, no 26","Rua Pinto de Figueiredo, Avenida Maracanã, Rua Barão de Mesquita, Rua General Roca, Rua Conde de Bonfim e Rua Pinto de Figueiredo","2000","2009"
"Bloco da Colônia Z-3","Paquetá","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T17:00:00-03:00","2017-02-27T19:00:00-03:00","2017-02-27T21:30:00-03:00","Praia José Bonifácio","Praia José Bonifácio, Rua Furquim Werneck e Praça Pintor Pedro Bruno","1500","2012"
"Bloco do Teimoso","Pedra de Guaratiba","Zona Oeste","27/02/17","Segunda-feira de Carnaval","2017-02-27T17:00:00-03:00","2017-02-27T19:00:00-03:00","2017-02-27T21:00:00-03:00","Rua Barros de Alarcão - Praça São Pedro","Rua Barros de Alarcão, da Praça São Pedro até a Rua Saião Lobato","600","1999"
"Coração das Crianças","Rocinha","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T17:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T20:00:00-03:00","Rua Nova (antiga Rua 4), esquina com Estrada da Gávea","Rua Nova, da Estrada da Gávea até o Largo do Boiadeiro, retornando ao local de concentração","1000","1978"
"Estica do Flamengo","Flamengo","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T17:00:00-03:00","2017-02-27T19:00:00-03:00","2017-02-27T22:00:00-03:00","Praça Sandro Moreira","Praça Sandro Moreira, Rua Marquês de Abrantes, Rua Marquês do Paraná, Rua Senador Vergueiro, Rua Marquês de Abrantes e Praça Sandro Moreira","2000","2007"
"Mocidade de Santíssimo","Santíssimo","Zona Oeste","27/02/17","Segunda-feira de Carnaval","2017-02-27T17:00:00-03:00","2017-02-27T19:00:00-03:00","2017-02-27T21:00:00-03:00","Rua Silva Cardoso c/ Rua da Usina","Rua Silva Cardoso, Rua Santa Cecilia, Largo de Bangú","400","2017 (2012)"
"Picada de Primeira","Lapa","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T17:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T21:00:00-03:00","Rua dos Arcos, 24 - em frente à Fundição Progresso","Rua dos Arcos, 24 - em frente à Fundição Progresso (Parado em palco montado em frente a Fundição)","3000","2009"
"Papo de Cachaça","Méier","Zona Norte 2","27/02/17","Segunda-feira de Carnaval","2017-02-27T18:00:00-03:00","2017-02-27T18:00:00-03:00","2017-02-27T23:00:00-03:00","Rua Dias da Cruz, 269","Rua Dias da Cruz, do no 269 ao no 111, retornando ao local de concentração","600","2010"
"Raízes da Vila da Penha","Vila da Penha","Zona Norte 1","27/02/17","Segunda-feira de Carnaval","2017-02-27T18:00:00-03:00","2017-02-27T19:00:00-03:00","2017-02-27T23:00:00-03:00","Rua São João Gualberto","Rua São João Gualberto, Rua General Silveira Sobrinho, Av. Brás de Pina, Rua Oliveira Belo, Rua da Coragem, Rua Alice Tibiriça e Rua São João Gualberto","1500","1996"
"Tigres do Coqueiro","Pedra de Guaratiba","Zona Oeste","27/02/17","Segunda-feira de Carnaval","2017-02-27T19:00:00-03:00","2017-02-27T21:00:00-03:00","2017-02-27T23:00:00-03:00","Rua Barros de Alarcão - Praça São Pedro","Rua Barros de Alarcão, da Praça São Pedro até a Rua Saião Lobato","1000","2005"
"Confetes e Serpentinas","Pedra de Guaratiba","Zona Oeste","27/02/17","Segunda-feira de Carnaval","2017-02-27T20:00:00-03:00","2017-02-27T20:00:00-03:00","2017-02-27T23:00:00-03:00","Praça Dr. Raul Capello Barrozo","Parado","800","2017"
"Mocidade Unida de Magalhães Bastos","Magalhães Bastos","Zona Oeste","27/02/17","Segunda-feira de Carnaval","2017-02-27T20:00:00-03:00","2017-02-27T20:00:00-03:00","2017-02-27T22:00:00-03:00","Estrada General Canrobert da Costa, esquina com Rua Carinhanha","Estrada General Canrobert da Costa, da Rua Carinhanha até a Rua Bonina, retornando ao local de concentração","1200","2010"
"Foliões do Rio (Ricardo de Albuquerque)","Ricardo de Albuquerque","Zona Norte 1","27/02/17","Segunda-feira de Carnaval","2017-02-27T22:00:00-03:00","2017-02-27T00:00:00-03:00","2017-02-27T00:00:00-03:00","Rua Japoara","Rua Japoara até a Pça Claudio de Souza esquina com Rua Umbuzeiro","1000","1997"
"A Rocha da Gávea","Gávea","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T08:00:00-03:00","2017-02-28T09:00:00-03:00","2017-02-28T13:00:00-03:00","Praça Santos Dumont","Praça Santos Dumont, Rua Marquês de São Vicente, Rua Vice- Governador Rubens Berardo e Terminal da PUC","12000","2003"
"Carmelitas","Santa Teresa","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T08:00:00-03:00","2017-02-28T10:00:00-03:00","2017-02-28T14:00:00-03:00","Largo do Curvelo","Largo do Curvelo, descendo pela Rua Joaquim Murtinho até a altura das escadinhas de Santa Teresa, no no 300","10000","1990"
"Vagalume O Verde","Jardim Botânico","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T08:00:00-03:00","2017-02-28T10:00:00-03:00","2017-02-28T14:00:00-03:00","Rua Jardim Botânico, esquina com Rua Pacheco Leão","Rua Jardim Botânico, da Rua Pacheco Leão até a Praça Santos Dumont","15000","2005"
"Bagunça Meu Coreto","Laranjeiras","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T09:00:00-03:00","2017-02-28T11:00:00-03:00","2017-02-28T15:00:00-03:00","Praça São Salvador","Praça São Salvador, Rua São Salvador, Rua Ipiranga, Rua Paissandu, Rua Senador Correa e Praca São Salvador","3000","2005"
"Sobrinhos do Tio Bio","Leblon","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T09:00:00-03:00","2017-02-28T11:00:00-03:00","2017-02-28T15:00:00-03:00","Rua Ataulfo de Paiva, esquina com Rua Rainha Guilhermina","Rua Rainha Guilhermina, Rua Dias Ferreira, Rua Aristides Espíndola e Rua Ataulfo de Paiva até a Rainha Guilhermina","5000","2006"
"Alegria do Guarabu","Jardim Carioca","Zona Norte 3","28/02/17","Terça-feira de Carnaval","2017-02-28T10:00:00-03:00","2017-02-28T11:00:00-03:00","2017-02-28T16:00:00-03:00","Rua Luis Gomes (Pedreira)","Rua Luis Gomes, Rua Inhoverá, Rua Dr. leon Roussoulieres, Rua Tramandaí, Rua Estocolmo, Rua Genebra, Rua Catalpa, Rua Flamarion, Rua Berna e Rua Luis Gomes","1500","2012"
"Batuke de Batom","Ilha do Governador","Zona Norte 3","28/02/17","Terça-feira de Carnaval","2017-02-28T10:00:00-03:00","2017-02-28T12:00:00-03:00","2017-02-28T16:00:00-03:00","Praça Iaiá Garcia","Rua Fernandes da Fonseca, Rua Paramopama, retorno a origem.","1000","2013"
"Bloco da Gold","Barra da Tijuca","Barra/JPA","28/02/17","Terça-feira de Carnaval","2017-02-28T10:00:00-03:00","2017-02-28T12:00:00-03:00","2017-02-28T16:00:00-03:00","Avenida Lúcio Costa, em frente a Av. Érico Veríssimo","Avenida Lúcio Costa, seguindo pela Avenida do Pepê até a Avenida Olegário Maciel","5000","2015"
"Quero Exibir Meu Longa","Tijuca","Tijuca e Adj","28/02/17","Terça-feira de Carnaval","2017-02-28T10:00:00-03:00","2017-02-28T11:00:00-03:00","2017-02-28T16:00:00-03:00","Praça Gabriel Soares","Praça Gabriel Soares, Rua Clóvis Beviláqua, Rua Conde de Bonfim, Rua Henry Ford, Rua Desembargador Isidro  e Praça Gabriel Soares","500","2013"
"Cardosão de Laranjeiras","Laranjeiras","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T11:00:00-03:00","2017-02-28T13:00:00-03:00","2017-02-28T16:00:00-03:00","Rua Cardoso Júnior, esquina com Rua das Laranjeiras","Rua Cardoso Júnior, da Rua das Laranjeiras até a Quadra da Cardoso Júnior","2000","1973"
"Cheiro na Testa","Santa Teresa","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T11:00:00-03:00","2017-02-28T13:00:00-03:00","2017-02-28T17:00:00-03:00","Largo dos Guimarães","Largo dos Guimarães, Rua Paschoal Carlos Magno, Rua Felício dos Santos, Rua Constante Jardim, Rua Monte Alegre até a esquina com a Rua Áurea","1000","2008"
"Mocidade Dependente de Deus","Flamengo","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T12:00:00-03:00","2017-02-28T13:00:00-03:00","2017-02-28T16:00:00-03:00","Praia do Flamengo","PRAIA DO FLAMENGO, RUA PAISSANDÚ, RUA SENADOR VERGUEIRO, RUA DO CATETE, RUA SILVEIRA MARTINS, RETORNA A ORIGEM","1000","2003"
"É Tudo ou Nada?!","Botafogo","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T13:00:00-03:00","2017-02-28T15:00:00-03:00","2017-02-28T19:00:00-03:00","Rua Humaitá, no 80","Rua Humaitá, Rua Marques, Rua Capistrano de Abreu, Rua Conde de Irajá e Largo dos Leões","3000","2008"
"Ninho dos Cobras","Madureira","Zona Norte 1","28/02/17","Terça-feira de Carnaval","2017-02-28T13:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T19:00:00-03:00","Rua Carvalho de Souza, embaixo do Viaduto de Madureira","Rua Carvalho de Souza, Av. Ministro Edgard Romero e Estrada do Portela até a Rua Dagmar da Fonseca","500","2010"
"Orquestra Voadora","Aterro","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T13:00:00-03:00","2017-02-28T15:00:00-03:00","2017-02-28T19:00:00-03:00","Aterro do Flamengo, altura da Praça Luis de Camões - Coreto Modernista","Aterro do Flamengo, do Coreto Modernista até o MAM","80000","2008"
"Os 300","Padre Miguel","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T13:00:00-03:00","2017-02-28T15:00:00-03:00","2017-02-28T18:00:00-03:00","Largo da Tapiranga","Largo da Tapiranga, Rua Maria Rosa, Rua Japeju, Rua Tapiranga e Largo da Tapiranga","1000","2015"
"Rio Maracatu","Ipanema","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T13:00:00-03:00","2017-02-28T15:00:00-03:00","2017-02-28T18:00:00-03:00","Avenida Vieira Souto, em frente ao Posto 8","Avenida Vieira Souto, do Posto 8 até a Rua Joana Angélica","5000","1998"
"Banda Alegria do Recreio","Recreio","Barra/JPA","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T15:00:00-03:00","2017-02-28T20:00:00-03:00","Posto 10 do Recreio","Do Posto 10 do Recreio até o Posto 9","5000","2004"
"Banda Sá Ferreira","Copacabana","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T20:00:00-03:00","Rua Sá Ferreira entre Av. Nossa Senhora de Copacabana e Rua Bulhões de Carvalho","Rua Sá Ferreira, Rua Bulhões de Carvalho, Rua Francisco Otaviano, Av. Atlântica (area de lazer) até altura da Rua Sá Ferreira.","10000","1940"
"Bloco dos Cachaças","Barra da Tijuca","Barra/JPA","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T15:00:00-03:00","2017-02-28T20:00:00-03:00","Avenida Lucio Costa, em frente ao no 3604 - Calçadão da praia","Avenida Lucio Costa, em frente ao no 3604 - Calçadão da praia","500","2008"
"Canela Fina","Quintino","Zona Norte 1","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T20:00:00-03:00","Rua Pedro Reis, em frente ao no 136","Rua Pedro Reis, Rua Argentina Reis, Rua João Barbalho, Rua 21 de Abril, Rua Nerval de Gouveia, e Praça de Quintino","1000","2011"
"Clube do Samba","Copacabana","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T19:00:00-03:00","Avenida Atlântica, em frente a Rua Santa Clara","Avenida Atlântica, da Rua Santa Clara até a Rua Almirante Gonçalves","4000","1980"
"Empurra que Pega do Leblon","Leblon","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T20:00:00-03:00","Av. Ataulfo de Paiva entre Av. Bartolomeu Mitre e Rua Jo!ao Lira","Segue Av. Attaulfo de Paiva até Rua Carlos Góis","40000","1990"
"Estrelinhas da Penha","Penha","Zona Norte 1","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T20:00:00-03:00","Rua Aimoré 180","PARADO","500","2013"
"Muceludos de Padre Miguel","Padre Miguel","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T20:00:00-03:00","Rua Pedro Melo 579","Segue pela Rua Japeju, Rua Olimpia Esteves, Rua Murundú, Rua Ceriba, Rua Maria Rosa, Largo da Tapiranga","500","2017"
"Mulheres da Vila","Vila Isabel","Tijuca e Adj","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T19:00:00-03:00","Boulevard 28 de Setembro, esquina com Rua Gonzaga Bastos","Boulevard 28 de Setembro, da Rua Gonzaga Bastos até a Praça Barão de Drummond","1000","2011"
"O Fervo","Estácio","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T20:00:00-03:00","Rua Maia de Lacerda","Rua Maia de Lacerda, da esquina da Rua Estácio de Sá até a Rua Sampaio Ferraz","2000","2016"
"Pragradar as Criancinhas","Rocinha","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T20:00:00-03:00","Rua 1, esquina com Estrada da Gávea (altura do no 250)","Rua 1, esquina com Estrada da Gávea (altura do no 250) - Parado","600","2000"
"Se Me Der, Eu Como!","Tijuca","Tijuca e Adj","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T20:00:00-03:00","Praça da Medalha Milhagrosa","Rua do Matoso, Rua Haddock Lobo, Rua Barão de Ubá, Rua Barão de Iguatemi, Rua do Matoso e Praça da Medalha Milagrosa","3000","2004"
"Tribo Cacuia","Cacuia","Zona Norte 3","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T20:00:00-03:00","Rua Sargento Joao Lopes 54","Rua Sgt. Joao Lopes, Est. da Cacuia, Rua Combu, Est. da Cacuia, retorno a origem","3000","2001"
"Turma da Tramela","Piedade","Zona Norte 2","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T20:00:00-03:00","Rua Teresa Cavalcante","Segue até Rua Bernardino de Campos, Av. Dom Helder Câmara e Rua João Pinheiro","1000","2017 (1963)"
"Vem Comigo","Vila Kosmos","Zona Norte 1","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T19:00:00-03:00","Rua Itacambira c/Av. Meriti","Rua Alecrim, Rua Itacambira com Rua Imbiaça.","1500",""
"Visita Fofoqueira","Centro","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T14:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T20:00:00-03:00","Praça Coronel Castelo Branco","Praça Coronel Castelo Branco - Parado","950","2012"
"Ai Se Eu Te Pego","Jardim Guanabara","Zona Norte 3","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T20:00:00-03:00","Praça Jerusalém","Av. Alves Câmara Junior (Praia da Bica), da Praça Jerusalém até o no 1.191 (Farol da Ilha)","2000","2016"
"Amigos da Onça","Cocotá","Zona Norte 3","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T20:00:00-03:00","Praça Manoel Bandeira","Praça Manoel Bandeira, Avenida Paranapuan e Marques de Muritiba, até o no 685","2900","2009"
